证券代码,code,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益
002551.SZ,2551,1.5,2,2,1.5,1.5,1.5,2,★☆,★★,★★,★☆,★☆,★☆,★★
002562.SZ,2562,1,1.5,2,1.5,1.5,1,1.5,★,★☆,★★,★☆,★☆,★,★☆
002566.SZ,2566,1.5,1.5,2.5,1.5,1,2,1,★☆,★☆,★★☆,★☆,★,★★,★
002581.SZ,2581,4,1,4.5,1.5,1.5,4.5,3,★★★★,★,★★★★☆,★☆,★☆,★★★★☆,★★★
002589.SZ,2589,3.5,4.5,1.5,3.5,3.5,4,4,★★★☆,★★★★☆,★☆,★★★☆,★★★☆,★★★★,★★★★
002603.SZ,2603,3.5,1,4.5,0.5,3.5,3,1,★★★☆,★,★★★★☆,☆,★★★☆,★★★,★
002626.SZ,2626,4.5,4.5,4.5,1.5,2.5,0.5,1.5,★★★★☆,★★★★☆,★★★★☆,★☆,★★☆,☆,★☆
002644.SZ,2644,1.5,1.5,2.5,1.5,1.5,1,2.5,★☆,★☆,★★☆,★☆,★☆,★,★★☆
002653.SZ,2653,2.5,3.5,2,2.5,3.5,0.5,1.5,★★☆,★★★☆,★★,★★☆,★★★☆,☆,★☆
002675.SZ,2675,2,2,2,3,1,2,2,★★,★★,★★,★★★,★,★★,★★
002680.SZ,2680,3,1.5,4.5,0.5,1.5,0.5,1.5,★★★,★☆,★★★★☆,☆,★☆,☆,★☆
002688.SZ,2688,1.5,3,2,2.5,2,1,2,★☆,★★★,★★,★★☆,★★,★,★★
002693.SZ,2693,1,1,1,2.5,2,1.5,2.5,★,★,★,★★☆,★★,★☆,★★☆
002727.SZ,2727,2.5,4,2,2,3.5,4,1.5,★★☆,★★★★,★★,★★,★★★☆,★★★★,★☆
002728.SZ,2728,2.5,3.5,2.5,2,1.5,2,2.5,★★☆,★★★☆,★★☆,★★,★☆,★★,★★☆
002737.SZ,2737,3.5,3,3.5,1,3.5,2,1,★★★☆,★★★,★★★☆,★,★★★☆,★★,★
002750.SZ,2750,0.5,0.5,2.5,0.5,2.5,1.5,2,☆,☆,★★☆,☆,★★☆,★☆,★★
002755.SZ,2755,1.5,1,2.5,2,2,1.5,2,★☆,★,★★☆,★★,★★,★☆,★★
002758.SZ,2758,2,3,1.5,3.5,4,2.5,2.5,★★,★★★,★☆,★★★☆,★★★★,★★☆,★★☆
002773.SZ,2773,4.5,1.5,4.5,0.5,3.5,2,2,★★★★☆,★☆,★★★★☆,☆,★★★☆,★★,★★
002788.SZ,2788,4.5,5,1.5,4,4.5,4.5,3,★★★★☆,★★★★★,★☆,★★★★,★★★★☆,★★★★☆,★★★
002817.SZ,2817,3.5,0.5,5,0.5,4,4,3,★★★☆,☆,★★★★★,☆,★★★★,★★★★,★★★
300003.SZ,300003,3.5,4.5,3,2,2,1,3.5,★★★☆,★★★★☆,★★★,★★,★★,★,★★★☆
300006.SZ,300006,1.5,2.5,1.5,2.5,2,1,2,★☆,★★☆,★☆,★★☆,★★,★,★★
300009.SZ,300009,2.5,2.5,3.5,1.5,3,0.5,0.5,★★☆,★★☆,★★★☆,★☆,★★★,☆,☆
300015.SZ,300015,3.5,3.5,3,2,4,0.5,1.5,★★★☆,★★★☆,★★★,★★,★★★★,☆,★☆
300016.SZ,300016,2,0.5,4,1,3,1,1.5,★★,☆,★★★★,★,★★★,★,★☆
300026.SZ,300026,2,0.5,4.5,0.5,3.5,1,1,★★,☆,★★★★☆,☆,★★★☆,★,★
300030.SZ,300030,1.5,1.5,2,2,1.5,1.5,2,★☆,★☆,★★,★★,★☆,★☆,★★
300039.SZ,300039,3,0.5,5,0.5,4.5,1,2,★★★,☆,★★★★★,☆,★★★★☆,★,★★
300049.SZ,300049,2,1,3.5,1,2,2,2,★★,★,★★★☆,★,★★,★★,★★
300086.SZ,300086,1,1.5,2.5,2,1.5,1,1,★,★☆,★★☆,★★,★☆,★,★
300108.SZ,300108,1.5,2.5,2,2.5,1,1,3,★☆,★★☆,★★,★★☆,★,★,★★★
300110.SZ,300110,1,1,2,3,2,1,1.5,★,★,★★,★★★,★★,★,★☆
300119.SZ,300119,2,2,3,1.5,1.5,2,1.5,★★,★★,★★★,★☆,★☆,★★,★☆
300122.SZ,300122,4.5,4.5,4.5,3,4,0.5,1.5,★★★★☆,★★★★☆,★★★★☆,★★★,★★★★,☆,★☆
300142.SZ,300142,1.5,1,3,2.5,1,0.5,3,★☆,★,★★★,★★☆,★,☆,★★★
300143.SZ,300143,1,2,2.5,1.5,1,0.5,0.5,★,★★,★★☆,★☆,★,☆,☆
300147.SZ,300147,1.5,2.5,1.5,3,1,2.5,3.5,★☆,★★☆,★☆,★★★,★,★★☆,★★★☆
300149.SZ,300149,3.5,2,3,4.5,1.5,1.5,2,★★★☆,★★,★★★,★★★★☆,★☆,★☆,★★
300158.SZ,300158,1,1.5,2.5,1.5,1.5,2,1,★,★☆,★★☆,★☆,★☆,★★,★
300181.SZ,300181,1,1.5,1.5,2,1,1,1.5,★,★☆,★☆,★★,★,★,★☆
300194.SZ,300194,2,1,3.5,1,3,1.5,0.5,★★,★,★★★☆,★,★★★,★☆,☆
300199.SZ,300199,2.5,1.5,4,1,1,1,2.5,★★☆,★☆,★★★★,★,★,★,★★☆
300204.SZ,300204,1,1,3.5,0.5,1.5,2,2,★,★,★★★☆,☆,★☆,★★,★★
300206.SZ,300206,2,0.5,4,0.5,4,0.5,1,★★,☆,★★★★,☆,★★★★,☆,★
300233.SZ,300233,3.5,3,4,1,2,4,0.5,★★★☆,★★★,★★★★,★,★★,★★★★,☆
300238.SZ,300238,1.5,1.5,2,3,1,1.5,1.5,★☆,★☆,★★,★★★,★,★☆,★☆
300239.SZ,300239,1,1.5,2,2.5,1.5,0.5,1,★,★☆,★★,★★☆,★☆,☆,★
300244.SZ,300244,3,4.5,1.5,3.5,3,3,3.5,★★★,★★★★☆,★☆,★★★☆,★★★,★★★,★★★☆
300246.SZ,300246,3,3,3,1.5,3.5,2,1,★★★,★★★,★★★,★☆,★★★☆,★★,★
300253.SZ,300253,1.5,1.5,3,1.5,1.5,0.5,1,★☆,★☆,★★★,★☆,★☆,☆,★
300254.SZ,300254,1.5,2,1.5,2.5,3,2,1.5,★☆,★★,★☆,★★☆,★★★,★★,★☆
300255.SZ,300255,1.5,1.5,3,1.5,1.5,1,1.5,★☆,★☆,★★★,★☆,★☆,★,★☆
300267.SZ,300267,2.5,0.5,5,0.5,4.5,2,3,★★☆,☆,★★★★★,☆,★★★★☆,★★,★★★
300273.SZ,300273,1.5,2,1.5,2.5,1,1.5,4,★☆,★★,★☆,★★☆,★,★☆,★★★★
300289.SZ,300289,1.5,1,3.5,1,2,1.5,1,★☆,★,★★★☆,★,★★,★☆,★
300294.SZ,300294,4,3,4,1.5,2,3.5,2,★★★★,★★★,★★★★,★☆,★★,★★★☆,★★
