证券代码,code,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益
300550.SZ,300550,,,,,,,
300558.SZ,300558,,,,,,,
300562.SZ,300562,,,,,,,
300573.SZ,300573,,,,,,,
300583.SZ,300583,,,,,,,
300584.SZ,300584,,,,,,,
300595.SZ,300595,,,,,,,
300601.SZ,300601,,,,,,,
300630.SZ,300630,,,,,,,
300633.SZ,300633,,,,,,,
300636.SZ,300636,,,,,,,
300639.SZ,300639,,,,,,,
300642.SZ,300642,,,,,,,
300653.SZ,300653,,,,,,,
300676.SZ,300676,,,,,,,
300677.SZ,300677,,,,,,,
300683.SZ,300683,,,,,,,
300685.SZ,300685,,,,,,,
300702.SZ,300702,,,,,,,
300705.SZ,300705,,,,,,,
300723.SZ,300723,,,,,,,
300725.SZ,300725,,,,,,,
300753.SZ,300753,,,,,,,
300759.SZ,300759,,,,,,,
300760.SZ,300760,,,,,,,
600055.SH,600055,,,,,,,
600056.SH,600056,,,,,,,
600062.SH,600062,,,,,,,
600079.SH,600079,,,,,,,
600080.SH,600080,,,,,,,
600085.SH,600085,,,,,,,
600090.SH,600090,,,,,,,
600129.SH,600129,,,,,,,
600161.SH,600161,,,,,,,
600195.SH,600195,,,,,,,
600196.SH,600196,,,,,,,
600201.SH,600201,,,,,,,
600211.SH,600211,,,,,,,
600216.SH,600216,,,,,,,
600222.SH,600222,,,,,,,
600227.SH,600227,,,,,,,
600252.SH,600252,,,,,,,
600267.SH,600267,,,,,,,
600272.SH,600272,,,,,,,
600276.SH,600276,,,,,,,
600285.SH,600285,,,,,,,
600299.SH,600299,,,,,,,
600329.SH,600329,,,,,,,
600332.SH,600332,,,,,,,
600351.SH,600351,,,,,,,
600380.SH,600380,,,,,,,
600420.SH,600420,,,,,,,
600422.SH,600422,,,,,,,
600436.SH,600436,,,,,,,
600479.SH,600479,,,,,,,
600488.SH,600488,,,,,,,
600511.SH,600511,,,,,,,
600513.SH,600513,,,,,,,
600518.SH,600518,,,,,,,
600521.SH,600521,,,,,,,
600530.SH,600530,,,,,,,
600535.SH,600535,,,,,,,
600538.SH,600538,,,,,,,
600557.SH,600557,,,,,,,
600566.SH,600566,,,,,,,
600572.SH,600572,,,,,,,
600587.SH,600587,,,,,,,
600594.SH,600594,,,,,,,
600613.SH,600613,,,,,,,
600624.SH,600624,,,,,,,
600645.SH,600645,,,,,,,
600664.SH,600664,,,,,,,
600671.SH,600671,,,,,,,
600713.SH,600713,,,,,,,
600721.SH,600721,,,,,,,
600750.SH,600750,,,,,,,
600763.SH,600763,,,,,,,
600767.SH,600767,,,,,,,
600771.SH,600771,,,,,,,
600781.SH,600781,,,,,,,
600789.SH,600789,,,,,,,
600812.SH,600812,,,,,,,
600829.SH,600829,,,,,,,
600833.SH,600833,,,,,,,
600851.SH,600851,,,,,,,
600867.SH,600867,,,,,,,
600896.SH,600896,,,,,,,
600976.SH,600976,,,,,,,
600993.SH,600993,,,,,,,
600998.SH,600998,,,,,,,
601607.SH,601607,,,,,,,
603079.SH,603079,,,,,,,
603108.SH,603108,,,,,,,
603127.SH,603127,,,,,,,
603139.SH,603139,,,,,,,
603168.SH,603168,,,,,,,
603222.SH,603222,,,,,,,
603229.SH,603229,,,,,,,
603233.SH,603233,,,,,,,
603259.SH,603259,,,,,,,
603301.SH,603301,,,,,,,
603309.SH,603309,,,,,,,
603367.SH,603367,,,,,,,
603368.SH,603368,,,,,,,
603387.SH,603387,,,,,,,
603456.SH,603456,,,,,,,
603520.SH,603520,,,,,,,
603538.SH,603538,,,,,,,
603566.SH,603566,,,,,,,
603567.SH,603567,,,,,,,
603590.SH,603590,,,,,,,
603658.SH,603658,,,,,,,
